GEN	1	1	0	H7225	beginning
GEN	1	1	1	H430	God
GEN	1	1	2	H1254	created
GEN	1	1	3	H8064	heaven
GEN	1	1	4	H853	and
GEN	1	1	5	H776	earth
GEN	1	2	0	H776	earth
GEN	1	2	1	H1961	was
GEN	1	2	2	H8414	form
GEN	1	2	3	H922	void
GEN	1	2	4	H2822	darkness
GEN	1	2	5	H6440	face
GEN	1	2	6	H8415	deep
GEN	1	2	7	H7307	Spirit
GEN	1	2	8	H430	God
GEN	1	2	9	H7363	moved
GEN	1	2	10	H5921	upon
GEN	1	2	11	H6440	face
GEN	1	2	12	H4325	waters
GEN	1	3	0	H430	God
GEN	1	3	1	H559	said
GEN	1	3	2	H1961	be
GEN	1	3	3	H216	light light
GEN	1	4	0	H430	God
GEN	1	4	1	H7200	saw
GEN	1	4	2	H216	light
GEN	1	4	3	H3588	that
GEN	1	4	4	H2896	good
GEN	1	4	5	H430	God
GEN	1	4	6	H914	divided
GEN	1	4	7	H216	light
GEN	1	4	8	H996	from
GEN	1	4	9	H2822	darkness
GEN	1	5	0	H430	God
GEN	1	5	1	H7121	called
GEN	1	5	2	H216	light
GEN	1	5	3	H3117	Day
GEN	1	5	4	H2822	darkness
GEN	1	5	5	H7121	called
GEN	1	5	6	H3915	Night
GEN	1	5	7	H6153	evening
GEN	1	5	8	H1242	morning
GEN	1	5	9	H259	first
GEN	1	5	10	H3117	day
GEN	1	6	0	H430	God
GEN	1	6	1	H559	said
GEN	1	6	2	H7549	firmament
GEN	1	6	3	H8432	midst
GEN	1	6	4	H4325	waters
GEN	1	6	5	H914	divide
GEN	1	6	6	H4325	waters waters
GEN	1	7	0	H430	God
GEN	1	7	1	H6213	made
GEN	1	7	2	H7549	firmament
GEN	1	7	3	H914	divided
GEN	1	7	4	H4325	waters
GEN	1	7	5	H834	which
GEN	1	7	6	H8478	under
GEN	1	7	7	H7549	firmament
GEN	1	7	8	H4325	waters
GEN	1	7	9	H834	which
GEN	1	7	10	H5921	above
GEN	1	7	11	H7549	firmament
GEN	1	7	12	H3651	so
GEN	1	8	0	H430	God
GEN	1	8	1	H7121	called
GEN	1	8	2	H7549	firmament
GEN	1	8	3	H8064	Heaven
GEN	1	8	4	H6153	evening
GEN	1	8	5	H1242	morning
GEN	1	8	6	H8145	second
GEN	1	8	7	H3117	day
GEN	1	9	0	H430	God
GEN	1	9	1	H559	said
GEN	1	9	2	H4325	waters
GEN	1	9	3	H8064	heaven
GEN	1	9	4	H6960	together
GEN	1	9	5	H413	unto
GEN	1	9	6	H259	one
GEN	1	9	7	H4725	place
GEN	1	9	8	H3004	dry
GEN	1	9	9	H7200	appear
GEN	1	10	0	H430	God
GEN	1	10	1	H7121	called
GEN	1	10	2	H3004	dry
GEN	1	10	3	H776	Earth
GEN	1	10	4	H4723	together
GEN	1	10	5	H4325	waters
GEN	1	10	6	H7121	called
GEN	1	10	7	H3220	Seas
GEN	1	10	8	H430	God
GEN	1	10	9	H7200	saw
GEN	1	10	10	H2896	good
GEN	1	11	0	H430	God
GEN	1	11	1	H559	said
GEN	1	11	2	H776	earth
GEN	1	11	3	H1876	forth
GEN	1	11	4	H1877	grass
GEN	1	11	5	H6212	herb
GEN	1	11	6	H2232	yielding
GEN	1	11	7	H2233	seed
GEN	1	11	8	H6529	fruit
GEN	1	11	9	H6086	tree
GEN	1	11	10	H6213	yielding
GEN	1	11	11	H6529	fruit
GEN	1	11	12	H4327	kind
GEN	1	11	13	H834	whose
GEN	1	11	14	H2233	seed
GEN	1	11	15	H776	earth
GEN	1	12	0	H776	earth
GEN	1	12	1	H3318	forth
GEN	1	12	2	H1877	grass
GEN	1	12	3	H6212	herb
GEN	1	12	4	H2232	yielding
GEN	1	12	5	H2233	seed
GEN	1	12	6	H4327	kind
GEN	1	12	7	H6086	tree
GEN	1	12	8	H6213	yielding
GEN	1	12	9	H6529	fruit
GEN	1	12	10	H2233	seed
GEN	1	12	11	H4327	kind
GEN	1	12	12	H430	God
GEN	1	12	13	H7200	saw
GEN	1	12	14	H2896	good
GEN	1	13	0	H6153	evening
GEN	1	13	1	H1242	morning
GEN	1	13	2	H7992	third
GEN	1	13	3	H3117	day
GEN	1	14	0	H430	God
GEN	1	14	1	H559	said
GEN	1	14	2	H3974	lights
GEN	1	14	3	H7549	firmament
GEN	1	14	4	H8064	heaven
GEN	1	14	5	H914	divide
GEN	1	14	6	H3117	day
GEN	1	14	7	H3915	night
GEN	1	14	8	H226	signs
GEN	1	14	9	H4150	seasons
GEN	1	14	10	H3117	days
GEN	1	14	11	H8141	years
GEN	1	15	0	H3974	lights
GEN	1	15	1	H7549	firmament
GEN	1	15	2	H8064	heaven
